,Published Date,Account,Account Type,Campaign Name,Total Impressions,Total Engagements,Media Type
0,2023-03-31 19:55:43.192,CSGO,TWITTER,N/A ,0,0,Text
1,2023-03-31 19:49:35.243,CSGO,TWITTER,N/A ,0,0,Text
2,2023-03-31 19:49:33.535,CSGO,TWITTER,N/A ,0,0,Text
3,2023-03-31 19:49:31.583,CSGO,TWITTER,N/A ,0,0,Text
4,2023-03-31 19:43:42.590,CSGO,TWITTER,Community Engagement ,9517,1215,Video
5,2023-03-31 19:42:11.331,CSGO,TWITTER,N/A ,0,0,Photo
6,2023-03-31 19:40:57.383,CSGO,TWITTER,Community Engagement ,1882,83,Photo
7,2023-03-31 19:23:57.349,CSGO,TWITTER,Community Engagement ,17892,3076,Video
8,2023-03-31 19:15:14.431,CSGO,TWITTER,N/A ,0,0,Video
9,2023-03-31 18:55:51.855,CSGO,TWITTER,Community Engagement ,13874,1447,Video
10,2023-03-31 18:36:01.000,General ,FBPAGE,Community Engagement ,37692,8044,Photo
11,2023-03-31 18:30:33.067,DOTA2,TWITTER,N/A ,1013,153,Link
12,2023-03-31 18:28:16.346,DOTA2,TWITTER,N/A ,4630,339,Photo
13,2023-03-31 18:21:55.727,CSGO,TWITTER,Community Engagement ,2289,41,Photo
14,2023-03-31 17:11:28.436,General ,TWITTER,Community Engagement ,5216,113,Text
15,2023-03-31 17:09:27.380,CSGO,TWITTER,Community Engagement ,841,13,Photo
16,2023-03-31 16:50:52.905,General ,TWITTER,Community Engagement ,6498,123,Text
17,2023-03-31 16:50:09.734,General ,TWITTER,Community Engagement ,8321,133,Text
18,2023-03-31 16:38:57.956,General ,TWITTER,Community Engagement ,953,36,Text
19,2023-03-31 16:38:43.839,General ,TWITTER,N/A ,0,0,Photo
20,2023-03-31 16:22:27.031,DOTA2,TWITTER,Community Engagement ,954,28,Photo
21,2023-03-31 16:22:26.000,General ,FBPAGE,Community Engagement ,42328,8936,Photo
22,2023-03-31 16:20:25.944,General ,TWITTER,Community Engagement ,28260,1018,Photo
23,2023-03-31 15:59:00.879,CSGO,TWITTER,Community Engagement ,3793,72,Photo
24,2023-03-31 15:48:26.281,General ,TWITTER,Community Engagement ,1927,155,Text
25,2023-03-31 15:27:46.732,DOTA2,TWITTER,N/A ,766,15,Text
26,2023-03-31 15:27:21.222,General ,TWITTER,Community Engagement ,20434,231,Text
27,2023-03-31 15:11:16.030,DOTA2,TWITTER,N/A ,1242,28,Video
28,2023-03-31 14:52:42.504,General ,TWITTER,Community Engagement ,311,10,Video
29,2023-03-31 14:46:34.525,General ,TWITTER,Community Engagement ,33768,350,Photo
30,2023-03-31 14:44:50.109,DOTA2,TWITTER,N/A ,1154,23,Photo
31,2023-03-31 14:42:20.328,General ,TWITTER,Community Engagement ,362,8,Text
32,2023-03-31 14:41:21.456,DOTA2,TWITTER,N/A ,762,23,Photo
33,2023-03-31 14:40:08.379,General ,TWITTER,Community Engagement ,14123,166,Photo
34,2023-03-31 14:30:18.135,DOTA2,TWITTER,N/A ,21,3,Text
35,2023-03-31 14:27:49.874,DOTA2,TWITTER,N/A ,612,7,Text
36,2023-03-31 14:27:02.000,General ,INSTAGRAM,Community Engagement ,5579,0,Photo
37,2023-03-31 14:16:43.582,DOTA2,TWITTER,N/A ,1048,42,Photo
38,2023-03-31 14:09:19.053,DOTA2,TWITTER,N/A ,0,0,Photo
39,2023-03-31 14:05:17.944,DOTA2,TWITTER,Community Engagement ,8619,288,Photo
40,2023-03-31 14:05:17.000,General ,FBPAGE,Community Engagement ,17222,952,Photo
41,2023-03-31 14:03:08.279,General ,TWITTER,Community Engagement ,40108,540,Photo
42,2023-03-31 13:36:33.000,General ,INSTAGRAM,Evergreen ,1257,18,Video
43,2023-03-31 13:36:05.000,General ,TIKTOK_BUSINESS,Evergreen ,145,4,Video
44,2023-03-31 13:09:36.838,General ,TWITTER,Community Engagement ,2332,61,Video
45,2023-03-31 13:00:03.309,DOTA2,TWITTER,Community Engagement ,441,23,Photo
46,2023-03-31 13:00:01.586,DOTA2,TWITTER,Community Engagement ,7403,168,Photo
47,2023-03-31 13:00:00.000,General ,FBPAGE,Community Engagement ,36197,5408,Photo
48,2023-03-31 12:00:13.000,General ,INSTAGRAM,Community Engagement ,16930,499,Photo
49,2023-03-31 12:00:02.794,General ,TWITTER,Community Engagement ,11682,167,Photo
50,2023-03-31 11:30:09.000,General ,FBPAGE,Community Engagement ,13774,1396,Photo
51,2023-03-31 11:30:09.000,General ,FBPAGE,Community Engagement ,13774,1396,Photo
52,2023-03-31 11:30:09.000,General ,FBPAGE,Community Engagement ,27547,2791,Photo
53,2023-03-31 11:30:08.717,DOTA2,TWITTER,Community Engagement ,2829,265,Photo
54,2023-03-31 10:02:28.918,General ,TWITTER,N/A ,0,0,Text
55,2023-03-31 09:28:39.000,General ,INSTAGRAM,Evergreen ,12911,157,Video
56,2023-03-31 09:28:07.000,General ,TIKTOK_BUSINESS,Evergreen ,923,44,Video
57,2023-03-31 08:36:30.200,DOTA2,TWITTER,N/A ,338,14,Photo
58,2023-03-31 08:35:30.736,DOTA2,TWITTER,N/A ,0,0,Photo
59,2023-03-30 18:42:03.966,CSGO,TWITTER,Community Engagement ,998,20,Photo
60,2023-03-30 17:35:45.916,CSGO,TWITTER,Community Engagement ,1322,12,Photo
61,2023-03-30 17:08:01.676,CSGO,TWITTER,Community Engagement ,1416,231,Video
62,2023-03-30 17:02:10.429,General ,TWITTER,N/A ,0,0,Video
63,2023-03-30 16:52:01.000,General ,YOUTUBE,N/A ,0,0,Video
64,2023-03-30 16:50:22.000,DOTA2,YOUTUBE,N/A ,0,0,Video
65,2023-03-30 16:49:53.000,DOTA2,YOUTUBE,N/A ,0,0,Video
66,2023-03-30 16:33:35.000,General ,FBPAGE,Community Engagement ,21273,1994,Photo
67,2023-03-30 16:33:11.000,General ,FBPAGE,Community Engagement ,122342,9207,Text
68,2023-03-30 16:31:38.362,CSGO,TWITTER,Community Engagement ,2836,64,Photo
69,2023-03-30 16:30:41.285,DOTA2,TWITTER,N/A ,9781,434,Photo
70,2023-03-30 16:30:04.000,General ,INSTAGRAM,Community Engagement ,30760,1678,Photo
71,2023-03-30 16:29:52.463,General ,TWITTER,Community Engagement ,12988,217,Photo
72,2023-03-30 16:29:50.000,General ,FBPAGE,Community Engagement ,40387,1724,Photo
73,2023-03-30 16:16:12.444,DOTA2,TWITTER,Community Engagement ,3485,143,Photo
74,2023-03-30 16:16:12.000,General ,FBPAGE,Community Engagement ,25017,2799,Photo
75,2023-03-30 15:32:04.788,DOTA2,TWITTER,Community Engagement ,1744,81,Text
76,2023-03-30 15:32:04.000,General ,FBPAGE,Community Engagement ,32581,6342,Text
77,2023-03-30 15:12:35.000,General ,INSTAGRAM,Evergreen ,76,3,Video
78,2023-03-30 15:12:07.000,General ,TIKTOK_BUSINESS,Evergreen ,870,78,Video
79,2023-03-30 14:00:02.636,General ,TWITTER,Community Engagement ,9657,77,Photo
80,2023-03-30 13:54:28.000,General ,YOUTUBE,N/A ,0,0,Text
81,2023-03-30 13:54:01.000,General ,YOUTUBE,N/A ,0,0,Text
82,2023-03-30 13:40:37.909,CSGO,TWITTER,Community Engagement ,258,9,Text
83,2023-03-30 13:40:26.079,CSGO,TWITTER,Community Engagement ,67,1,Text
84,2023-03-30 13:39:58.018,CSGO,TWITTER,N/A ,0,0,Photo
85,2023-03-30 13:39:55.243,CSGO,TWITTER,N/A ,0,0,Photo
86,2023-03-30 13:32:59.729,General ,TWITTER,Community Engagement ,29434,138,Text
87,2023-03-30 13:11:48.880,General ,TWITTER,N/A ,0,0,Link
88,2023-03-30 13:11:36.576,DOTA2,TWITTER,Community Engagement ,4588,84,Photo
89,2023-03-30 13:11:36.000,General ,FBPAGE,Community Engagement ,12104,1627,Photo
90,2023-03-30 13:08:44.000,Content Creators,YOUTUBE,N/A ,1728,35,Video
91,2023-03-30 13:08:14.975,General ,TWITTER,Community Engagement ,9262,119,Video
92,2023-03-30 13:05:00.000,Content Creators,YOUTUBE,N/A ,8,0,Video
93,2023-03-30 13:00:00.000,General ,FBPAGE,Community Engagement ,9903,445,Video
94,2023-03-30 12:00:48.453,General ,TWITTER,Evil Exhibited ,778,15,Text
95,2023-03-30 11:03:16.593,General ,INSTAGRAM,N/A ,0,0,Text
96,2023-03-30 11:03:00.000,General ,INSTAGRAM,Evil Exhibited ,7028,100,Video
97,2023-03-30 11:00:45.796,DOTA2,TWITTER,N/A ,1451,47,Text
98,2023-03-30 11:00:22.123,DOTA2,TWITTER,N/A ,0,0,Video
99,2023-03-30 11:00:01.000,General ,FBPAGE,Evil Exhibited ,9273,306,Video
100,2023-03-30 11:00:00.640,General ,TWITTER,Evil Exhibited ,52669,2713,Video
101,2023-03-30 10:54:54.000,Valorant,YOUTUBE,Evil Exhibited ,0,0,Text
102,2023-03-30 10:54:29.000,Valorant,YOUTUBE,Evil Exhibited ,0,0,Text
103,2023-03-30 10:54:12.000,Valorant,YOUTUBE,Evil Exhibited ,0,0,Text
104,2023-03-30 10:50:23.000,Valorant,YOUTUBE,Evil Exhibited ,356,18,Video
105,2023-03-30 10:39:22.000,General ,YOUTUBE,N/A ,0,0,Text
106,2023-03-30 10:38:39.000,General ,YOUTUBE,N/A ,0,0,Text
107,2023-03-30 10:18:33.000,Valorant,YOUTUBE,Evil Exhibited ,0,0,Link
108,2023-03-30 10:07:19.000,General ,INSTAGRAM,Evergreen ,12500,185,Video
109,2023-03-30 10:06:16.000,Valorant,YOUTUBE,Evil Exhibited ,12320,463,Video
